Bahan Makanan,Kalori,Protein,Lemak,Karbohidrat,Kalsium,P,Fe,Persentase
Lele dumbo/pecak,372,7.8,36.3,3.5,289.0,295,5.3,100
Mujahir goreng,416,46.9,23.9,0.0,346.0,654,0.9,100
Pepes ikan mas,209,15.2,11.3,11.8,686.0,530,6.1,100
Tenggiri,109,21.5,2.6,0.0,0.0,0,0.0,100
Bayam rebus,23,1.2,0.6,3.7,150.0,35,0.5,100
Gado-gado,203,6.7,8.7,24.6,21.0,0,2.1,100
Gudeg,160,3.3,9.2,16.0,62.0,55,12.8,100
Ketoprak,153,7.9,7.7,13.0,153.0,134,3.4,100
Kripik bayam,586,4.9,40.6,50.2,236.0,117,3.6,100
Pecel,243,11.1,12.5,31.7,267.0,333,3.5,100
Sayur asem,29,0.7,0.6,5.0,40.0,61,3.1,100
Sayur lodeh,240,9.1,12.5,30.7,135.0,184,4.3,100
Sayur sop,27,1.3,2.0,1.0,168.0,57,1.8,100
Semur jengkol,77,1.8,2.4,12.1,0.0,0,0.7,100
Semur telur ,178,5.0,0.0,0.0,60.8,0,3.2,100
Soto bandung,42,3.9,1.7,2.8,74.0,75,1.8,100
Soto banjar,100,4.7,6.7,5.1,147.0,81,1.8,100
Soto betawi,135,2.5,8.8,11.5,222.0,72,1.9,100
Soto kudus,38,2.6,2.3,1.8,237.0,67,1.7,100
Soto madura,60,3.5,4.5,1.3,361.0,126,3.8,100
Tumis bayam ,193,2.0,0.0,0.0,191.9,0,2.8,100
Tumis kangkung ,92,2.5,0.0,0.0,69.6,0,2.4,100
Susu full cream,502,27.0,26.0,40.0,800.0,600,6.7,100
Bakpau,239,12.2,2.6,41.6,21.0,65,2.8,100
Bakso,190,10.3,6.3,23.1,35.0,0,6.8,100
Bika ambon,158,2.1,0.2,37.0,0.0,0,3.4,100
Cake (bolu),435,7.1,19.8,57.1,15.0,160,0.8,100
Kolek pisang ,198,1.6,0.0,0.0,35.0,0,1.0,100
Kolek ubi ,195,1.9,0.0,0.0,42.7,0,1.0,100
Kue bakpia,272,3.7,6.7,44.1,194.0,117,4.5,100
Kue bakwan,280,8.2,10.2,39.0,79.0,7,0.0,100
Kue bawang,488,8.8,21.6,64.6,22.0,85,1.5,100
Kue brem,249,3.4,0.4,58.0,196.0,86,2.0,100
Lapis legit,389,6.6,15.7,55.5,16.0,136,1.9,100
Mendoan,92,4.9,1.0,16.2,26.0,47,2.0,100
Pisang goreng,132,1.4,3.8,23.1,7.2,0,0.0,100
Rujak,228,7.6,15.5,14.5,29.0,29,3.2,100
Wedang jahe,59,0.1,0.1,15.1,2.0,3,0.2,100
Wedang jeruk,60,0.1,0.0,15.8,3.0,2,0.0,100
Wingko babat,355,3.2,15.1,51.4,47.0,63,1.1,100
